handle_or_url,title,platform,source_type,locality_bucket,country_guess,city_guess,language_guess,parseability_score,quote_post_count,buy_sell_pair_count,likely_individual_shop,freshness_score,locality_usefulness_score,basket_contribution_score,feed_stability_score,operational_score,operational_bucket,last_seen,status_guess,notes
istanbulexchange_com,نرخ لحظه‌ای دلار، لیر، یورو کاپالی چارشی استانبول,telegram,regional_market_channel,Turkey,Turkey,Istanbul,Persian,84,16,16,False,12,9,9,12,100,P1,2026-03-15T14:00:00+00:00,ok,classified as regional market-signal feed; visible buy/sell pairs: 16; recent activity signal; fills thin Turkey basket; strong stability hints from repeated quote formatting; high parseability; ranked P1
emiratesiranexchange,emiratesiranexchange,telegram,exchange_shop,Iran,Iran,unknown,Persian,62,10,0,True,7,10,5,4,76,P1,2026-02-26T14:28:07+00:00,ok,classified as exchange-shop candidate; visible quote-like posts: 10; shop-like contact footprint detected; ranked P1
ghroon,صرافی طهران (TEHRAN EXCHANGE),telegram,exchange_shop,Iran,Iran,Tehran,Persian,92,17,17,True,0,10,5,10,100,monitor_only,2024-05-19T15:15:49+00:00,ok,classified as exchange-shop candidate; visible buy/sell pairs: 17; shop-like contact footprint detected; weak freshness / stale visibility; strong stability hints from repeated quote formatting; high parseability; ranked monitor_only
exchanga,Exchange istanbul,telegram,exchange_shop,Turkey,Turkey,Istanbul,Turkish,62,7,0,True,0,9,9,2,67,monitor_only,2024-11-06T08:17:26+00:00,ok,classified as exchange-shop candidate; visible quote-like posts: 7; shop-like contact footprint detected; weak freshness / stale visibility; fills thin Turkey basket; limited stability evidence; ranked monitor_only
ex_onix,صرافی آنلاین | Ex onix,telegram,exchange_shop,unknown,unknown,unknown,Persian,62,18,0,True,0,2,1,4,62,monitor_only,2022-07-09T15:18:42+00:00,ok,classified as exchange-shop candidate; visible quote-like posts: 18; shop-like contact footprint detected; weak freshness / stale visibility; ranked monitor_only
iranmoneyorg,صرافی ایران مانی استانبول,telegram,exchange_shop,Turkey,Turkey,Istanbul,Persian,22,0,0,True,12,9,9,2,58,monitor_only,2026-03-15T07:58:33+00:00,ok,classified as exchange-shop candidate; no visible quote structure in sampled messages; shop-like contact footprint detected; recent activity signal; fills thin Turkey basket; limited stability evidence; low parseability; ranked monitor_only
royalmoneyexchengegroup,The Royal Money Exchange Group,telegram,exchange_shop,Iran,Iran,unknown,Persian,30,2,0,False,12,10,5,2,48,monitor_only,2026-03-14T23:59:23+00:00,ok,classified as exchange-shop candidate; visible quote-like posts: 2; recent activity signal; limited stability evidence; ranked monitor_only
iranian_uae,ایرانیان امارات,telegram,settlement_exchange,UAE,UAE,Dubai,Persian,30,0,0,False,12,9,10,2,48,monitor_only,2026-03-15T16:32:20+00:00,ok,classified as settlement/remittance exchange; no visible quote structure in sampled messages; recent activity signal; fills thin UAE basket; limited stability evidence; ranked monitor_only
iranianturkey_official,ایرانیان ترکیه,telegram,aggregator,Turkey,Turkey,Istanbul,Persian,46,3,0,False,12,9,9,2,43,monitor_only,2026-03-15T14:43:05+00:00,ok,classified as aggregator; visible quote-like posts: 3; recent activity signal; fills thin Turkey basket; limited stability evidence; ranked monitor_only
patton6966,Patton6966,telegram,aggregator,Iran,Iran,unknown,Turkish,22,0,0,False,12,10,5,2,29,reject,2026-03-15T16:54:46+00:00,ok,classified as aggregator; no visible quote structure in sampled messages; recent activity signal; limited stability evidence; low parseability; ranked reject
iranexchangeco,Telegram: Contact @iranexchangeco,telegram,exchange_shop,Iran,Iran,unknown,English,14,0,0,False,0,10,5,1,27,reject,,ok_no_text,classified as exchange-shop candidate; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
samexchange,Sam Exchange صرافی‌سام,telegram,exchange_shop,unknown,unknown,unknown,Persian,14,0,0,False,7,2,1,2,23,reject,2026-03-01T02:06:44+00:00,ok,classified as exchange-shop candidate; no visible quote structure in sampled messages; limited stability evidence; low parseability; ranked reject
iraniane_london,IRANIAN LONDON ایرانیان لندن,telegram,exchange_shop,UK,UK,London,Persian,14,0,0,False,0,7,3,1,22,reject,,ok_no_text,classified as exchange-shop candidate; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iraniandubai,ایرانیان مقیم دبی,telegram,unknown,UAE,UAE,Dubai,Persian,14,1,0,False,4,9,10,0,19,reject,2025-10-05T19:52:04+00:00,ok,classified as unknown; visible quote-like posts: 1; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
iranian_uk,ايرانيان_انگلستان,telegram,unknown,UK,Afghanistan,Herat,Persian,14,0,0,False,12,7,3,2,19,reject,2026-03-14T21:49:28+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; limited stability evidence; low parseability; ranked reject
airjernihhangatt,AirHangat,telegram,unknown,UK,UK,unknown,Turkish,6,0,0,False,12,7,3,2,16,reject,2026-03-14T21:30:20+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; limited stability evidence; low parseability; ranked reject
iranianconsulatedubai,سركنسولگری جمهوری اسلامی ايران- دبی,telegram,unknown,UAE,UAE,Dubai,Persian,14,0,0,False,12,9,10,2,16,reject,2026-03-15T08:54:56+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
iruae,Iran & UAE CC 🇮🇷🇦🇪,telegram,unknown,UAE,UAE,Dubai,Persian,6,0,0,False,4,9,10,0,15,reject,2026-01-02T18:03:10+00:00,ok,classified as unknown; no visible quote structure in sampled messages; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
iranian_business_council,Iranian Business Council_Dubai,telegram,aggregator,UAE,UAE,Dubai,Persian,14,0,0,False,7,9,10,2,13,reject,2026-02-28T21:44:55+00:00,ok,classified as aggregator; no visible quote structure in sampled messages; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
durov,Pavel Durov,telegram,unknown,UAE,UAE,Dubai,Turkish,6,0,0,False,10,9,10,2,11,reject,2026-03-02T13:01:29+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
arziranex,Telegram: Contact @arziranex,telegram,unknown,Iran,Iran,unknown,English,6,0,0,False,0,10,5,1,8,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranconsulateinuk,🇬🇧 کنسولی لندن 🇮🇷,telegram,unknown,UK,Turkey,Istanbul,Persian,14,0,0,False,12,7,3,2,7,reject,2026-03-14T12:36:37+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; limited stability evidence; low parseability; ranked reject
para_transferiofficial,Para_Transferi,telegram,unknown,Iran,Iran,unknown,Turkish,6,0,0,False,0,10,5,0,7,reject,2023-09-11T06:22:43+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranine_london,ایرانیان لندن,telegram,aggregator,UK,UK,London,Persian,6,0,0,False,0,7,3,1,5,reject,,ok_no_text,classified as aggregator; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranian_school_istanbul,مدرسه ایرانیان استانبول,telegram,unknown,Turkey,Turkey,Istanbul,Persian,22,0,0,False,0,9,9,0,4,reject,2023-08-05T21:50:03+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; fills thin Turkey basket; limited stability evidence; low parseability; ranked reject
iranian_london23,نیازمندیهای ایرانیان لندن IRANIAN LONDON,telegram,unknown,UK,UK,London,Persian,6,0,0,False,0,7,3,1,3,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranianinlondon,IRANIAN IN LONDON - ایرانیان مقیم انگلستان,telegram,unknown,UK,UK,London,Persian,6,0,0,False,0,7,3,1,3,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
bestiranianglobal,Best Iranian,telegram,unknown,UK,UK,London,English,6,0,0,False,0,7,3,0,2,reject,2022-02-22T12:21:33+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranian_uk_media,@Iranian_UK_Media,telegram,unknown,UK,Iran,unknown,English,6,0,0,False,0,7,3,0,2,reject,2023-04-22T21:01:29+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranianuk,Iranian UK,telegram,unknown,UK,Iran,unknown,English,6,0,0,False,0,7,3,0,2,reject,2015-09-26T13:16:41+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
aradgp7,Arad P7,telegram,unknown,unknown,unknown,unknown,English,6,0,0,False,0,2,1,1,0,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
azeri_hub,Azeri Hub,telegram,unknown,unknown,unknown,unknown,Turkish,6,0,0,False,0,2,1,1,0,reject,2024-05-27T13:45:49+00:00,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
hijabhorny,Hijab Girls 🧕🏻,telegram,unknown,unknown,unknown,unknown,English,6,0,0,False,0,2,1,1,0,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranconsulateistanbul,Iranconsulate_Istanbul,telegram,unknown,Turkey,Turkey,Istanbul,Turkish,6,0,0,False,0,9,9,0,0,reject,2024-01-04T07:43:03+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; fills thin Turkey basket; limited stability evidence; low parseability; ranked reject
